action_scope,candidate_id,action_family,run_id,fold_id,seed_id,eligible_trials,prediction_differs_from_B6,rescue_count,harm_count,net_correctness,rescue_precision,unique_rescue_not_available_from_KEEP_menu,overlap_with_KEEP_oracle_rescue,rescue_jaccard_with_KEEP_oracle,OUTER_TEST_USED
GLOBAL,ALL_AMPLIFY,AMPLIFY,,,,10400,395,182,213,-31,0.4607594936708861,33,149,0.17951807228915662,False
GLOBAL,ALL_ERASE,ERASE,,,,10400,2202,540,1662,-1122,0.2452316076294278,219,321,0.3159448818897638,False
GLOBAL,ALL_GEOMETRY,GEOMETRY,,,,10400,913,347,566,-219,0.380065717415115,91,256,0.2882882882882883,False
SINGLE_REPLACEMENT,fold-0_seed-0->AMPLIFY,AMPLIFY,fold-0_seed-0,0.0,0.0,6800,182,90,92,-2,0.4945054945054945,6,84,0.1453287197231834,False
SINGLE_REPLACEMENT,fold-0_seed-0->ERASE,ERASE,fold-0_seed-0,0.0,0.0,6800,307,104,203,-99,0.33876221498371334,16,88,0.14965986394557823,False
SINGLE_REPLACEMENT,fold-0_seed-0->GEOMETRY,GEOMETRY,fold-0_seed-0,0.0,0.0,6800,213,103,110,-7,0.4835680751173709,11,92,0.15780445969125215,False
SINGLE_REPLACEMENT,fold-0_seed-1->AMPLIFY,AMPLIFY,fold-0_seed-1,0.0,1.0,6800,157,80,77,3,0.5095541401273885,3,77,0.13391304347826086,False
SINGLE_REPLACEMENT,fold-0_seed-1->ERASE,ERASE,fold-0_seed-1,0.0,1.0,6800,296,115,181,-66,0.3885135135135135,16,99,0.1683673469387755,False
SINGLE_REPLACEMENT,fold-0_seed-1->GEOMETRY,GEOMETRY,fold-0_seed-1,0.0,1.0,6800,193,93,100,-7,0.48186528497409326,9,84,0.14457831325301204,False
SINGLE_REPLACEMENT,fold-1_seed-0->AMPLIFY,AMPLIFY,fold-1_seed-0,1.0,0.0,6800,200,89,111,-22,0.445,4,85,0.14912280701754385,False
SINGLE_REPLACEMENT,fold-1_seed-0->ERASE,ERASE,fold-1_seed-0,1.0,0.0,6800,328,149,179,-30,0.45426829268292684,24,125,0.211864406779661,False
SINGLE_REPLACEMENT,fold-1_seed-0->GEOMETRY,GEOMETRY,fold-1_seed-0,1.0,0.0,6800,224,89,135,-46,0.39732142857142855,8,81,0.14111498257839722,False
SINGLE_REPLACEMENT,fold-1_seed-1->AMPLIFY,AMPLIFY,fold-1_seed-1,1.0,1.0,6800,204,85,119,-34,0.4166666666666667,4,81,0.14210526315789473,False
SINGLE_REPLACEMENT,fold-1_seed-1->ERASE,ERASE,fold-1_seed-1,1.0,1.0,6800,268,128,140,-12,0.47761194029850745,14,114,0.19655172413793104,False
SINGLE_REPLACEMENT,fold-1_seed-1->GEOMETRY,GEOMETRY,fold-1_seed-1,1.0,1.0,6800,218,92,126,-34,0.42201834862385323,2,90,0.15845070422535212,False
SINGLE_REPLACEMENT,fold-2_seed-0->AMPLIFY,AMPLIFY,fold-2_seed-0,2.0,0.0,6800,251,106,145,-39,0.42231075697211157,19,87,0.16261682242990655,False
SINGLE_REPLACEMENT,fold-2_seed-0->ERASE,ERASE,fold-2_seed-0,2.0,0.0,6800,321,139,182,-43,0.43302180685358255,31,108,0.19744058500914077,False
SINGLE_REPLACEMENT,fold-2_seed-0->GEOMETRY,GEOMETRY,fold-2_seed-0,2.0,0.0,6800,245,113,132,-19,0.46122448979591835,20,93,0.17350746268656717,False
SINGLE_REPLACEMENT,fold-2_seed-1->AMPLIFY,AMPLIFY,fold-2_seed-1,2.0,1.0,6800,303,136,167,-31,0.44884488448844884,27,109,0.2007366482504604,False
SINGLE_REPLACEMENT,fold-2_seed-1->ERASE,ERASE,fold-2_seed-1,2.0,1.0,6800,499,186,313,-127,0.3727454909819639,49,137,0.2424778761061947,False
SINGLE_REPLACEMENT,fold-2_seed-1->GEOMETRY,GEOMETRY,fold-2_seed-1,2.0,1.0,6800,337,142,195,-53,0.42136498516320475,30,112,0.20512820512820512,False
